ident,ID objet
563582,180612
563582,180614
563582,180615
563582,180616
563582,180619
563582,180620
563582,180633
563582,180644
563582,180653
563582,180712
563582,180717
563582,180723
563582,180724
563582,180745
563582,180746
563582,180765
563582,180821
563582,180865
563582,180866
563582,180897
563582,180899
563582,180915
563582,180919
563582,180920
563582,180921
563582,180931
563582,180936
563582,180950
563582,180960
563582,180961
563582,180962
563582,180963
563582,180964
563582,180965
563582,180966
563582,180967
563582,180968
563582,180969
563582,180970
563582,181129
563582,181131
563582,181132
563582,181133
563582,181193
563582,181201
563582,181202
563582,181206
563582,181207
563582,181254
563582,181261
563582,181263
563582,181266
563582,181340
563582,181341
563582,181344
563582,181345
563582,181346
563582,181349
563582,181401
563582,181402
563582,181514
563582,181518
563582,181520
563582,181522
563582,181523
563582,181524
563582,181580
563582,181628
563582,181629
563582,181645
563582,181657
563582,181658
563582,181659
563582,181666
563582,181686
563582,181695
563582,181698
563582,181704
563582,181721
563582,181730
563582,181731
563582,181732
563582,181740
563582,181743
563582,181746
563582,181747
563582,181752
563582,181753
563582,181754
563582,181760
563582,181790
563582,181791
563582,181792
563582,181795
563582,181830
563582,181831
563582,181832
563582,181836
563582,181840
563582,181842
563582,181843
563582,181844
563582,181845
563582,181846
563582,181849
563582,181884
563582,181886
563582,181887
563582,181888
563582,181891
563582,181892
563582,181929
563582,181938
563582,181941
563582,181943
563582,181944
563582,181975
563582,182045
563582,182065
563582,182092
563582,182095
563582,182104
563582,182110
563582,182139
563582,182161
563582,182208
563582,182275
563582,182315
563582,182322
563582,182323
563582,182398
563582,182401
563582,182404
563582,182416
563582,182478
563582,182509
563582,182567
563582,182584
563582,182604
563582,182657
563582,182717
563582,182718
563582,182720
563582,182731
563582,182732
563582,182774
563582,182775
563582,182782
563582,182783
563582,182800
563582,182813
563582,182814
563582,182875
563582,182878
563582,182879
563582,182880
563582,182894
563582,182915
563582,182916
563582,182922
563582,182923
563582,182930
563582,182931
563582,182932
563582,182934
563582,182935
563582,182937
563582,182938
563582,182939
563582,182941
563582,182950
563582,182958
563582,183028
563582,183075
563582,183092
563582,183107
563582,183118
563582,183119
563582,183120
563582,183162
563582,183164
563582,183224
563582,183225
563582,183255
563582,183358
563582,183510
563582,183546
563582,183598
563582,183623
563582,183652
563582,183653
563582,183672
563582,183676
563582,183685
563582,183693
563582,183697
563582,183890
563582,183897
563582,183899
563582,183900
563582,183901
563582,183902
563582,183904
563582,183927
563582,183947
563582,183965
563582,183981
563582,184000
563582,184008
563582,184048
563582,184050
563582,184144
563582,184168
563582,184169
563582,184201
563582,184202
563582,184203
563582,184204
563582,184205
563582,184223
563582,184227
563582,184236
563582,184237
563582,184249
563582,184250
563582,184268
563582,184293
563582,184303
563582,184319
563582,184320
563582,184323
563582,184324
563582,184325
563582,184368
563582,184377
563582,184388
563582,184390
563582,184393
563582,184583
563582,184585
563582,184587
563582,184589
563582,184778
563582,184779
563582,184780
563582,184781
563582,184807
563582,184817
563582,184887
563582,184945
563582,184967
563582,184978
563582,184980
563582,184981
563582,184986
563582,184987
563582,184988
563582,184990
563582,184991
563582,185032
563582,185047
563582,185074
563582,185196
563582,185200
563582,185202
563582,185204
563582,185208
563582,185218
563582,185219
563582,185220
563582,185221
563582,185232
563582,185233
563582,185234
563582,185235
563582,185273
563582,185276
563582,185390
563582,185391
563582,185392
563582,185453
563582,185534
563582,185548
563582,185549
563582,185574
563582,185579
563582,185580
563582,185596
563582,185607
563582,185609
563582,185610
563582,185611
563582,185612
563582,185692
563582,185738
563582,185765
563582,185768
563582,185771
563582,185773
563582,185774
563582,185790
563582,185791
563582,185817
563582,185841
563582,185849
563582,185850
563582,185887
563582,185888
563582,185889
563582,185910
563582,185913
563582,185938
563582,186076
563582,186077
563582,186079
563582,186083
563582,186084
563582,186095
563582,186129
563582,186130
563582,186139
563582,186153
563582,186154
563582,186168
563582,186171
563582,186174
563582,186185
563582,186188
563582,186213
563582,186214
563582,186215
563582,186229
563582,186230
563582,186231
563582,186233
563582,186238
563582,186242
563582,186243
563582,186244
563582,186246
563582,186253
563582,186254
563582,186273
563582,186274
563582,186276
563582,186304
563582,186310
563582,186316
563582,186318
563582,186319
563582,186320
563582,186333
563582,186347
563582,186364
563582,186365
563582,186392
563582,186445
563582,186497
563582,186515
563582,186517
563582,186520
563582,186522
563582,186524
563582,186554
563582,186584
563582,186684
